,FOLIO,FECHA,IMPORTE_VENTA,IMPUESTOS_VENTA,TIPO_CAMBIO,CONTABILIZADO
0,DVC000001,2014-08-15,43.1,6.9,1.0,S
1,DVC000002,2014-08-15,180.0,28.8,1.0,S
2,DVC000003,2014-08-18,180.0,28.8,1.0,S
3,DVC000004,2014-08-19,544.0,87.04,1.0,S
4,DVC000005,2014-08-22,2678.0,428.48,1.0,S
5,DVC000006,2014-08-25,301.6,48.26,1.0,S
6,DVC000007,2014-08-26,4174.74,667.96,1.0,S
7,DVC000008,2014-08-26,363.0,58.08,1.0,S
8,DVC000009,2014-08-28,3149.43,503.91,1.0,S
9,DVC000010,2014-08-29,85.34,13.65,1.0,S
10,DVC000011,2014-08-29,564.0,90.24,1.0,S
11,DVC000012,2014-09-02,1743.6,278.98,1.0,S
12,DVC000013,2014-09-02,510.0,81.6,1.0,S
13,DVC000014,2014-09-03,954.72,152.76,1.0,S
14,DVC000015,2014-09-03,65.0,10.4,1.0,S
15,DVC000016,2014-09-03,376.0,60.16,1.0,S
16,DVC000017,2014-09-03,180.0,28.8,1.0,S
17,DVC000018,2014-09-05,1619.2,259.07,1.0,S
18,DVC000019,2014-09-05,530.0,84.8,1.0,S
19,DVC000020,2014-09-05,178.0,28.48,1.0,S
20,DVC000021,2014-09-08,43.1,6.9,1.0,S
21,DVC000022,2014-09-08,564.0,90.24,1.0,S
22,DVC000023,2014-09-09,1874.08,299.85,1.0,S
23,DVC000024,2014-09-09,7737.6,1238.02,1.0,S
24,DVC000025,2014-09-09,175.0,28.0,1.0,S
25,DVC000026,2014-09-10,3847.2,615.55,1.0,S
26,DVC000027,2014-09-10,188.0,30.08,1.0,S
27,DVC000028,2014-09-12,360.0,57.6,1.0,S
28,DVC000029,2014-09-12,1038.77,166.2,1.0,S
29,DVC000030,2014-09-12,1128.4,180.54,1.0,S
30,DVC000031,2014-09-15,954.72,152.76,1.0,S
31,DVC000032,2014-09-17,188.0,30.08,1.0,S
32,DVC000033,2014-09-17,185.0,29.6,1.0,N
33,DVC000034,2014-09-17,185.0,29.6,1.0,S
34,DVC000035,2014-09-18,70.0,11.2,1.0,S
35,DVC000036,2014-09-19,376.0,60.16,1.0,S
36,DVC000037,2014-09-19,198806.0,31808.96,1.0,S
37,DVC000038,2014-09-22,291.2,46.59,1.0,S
38,DVC000039,2014-09-22,376.0,60.16,1.0,S
39,DVC000040,2014-09-23,561.6,89.86,1.0,S
40,DVC000041,2014-09-23,2853.98,456.64,1.0,S
41,DVC000042,2014-09-24,0.0,0.0,1.0,S
42,DVC000043,2014-09-29,1786.2,285.79,1.0,S
43,DVC000044,2014-09-29,550.0,88.0,1.0,S
44,DVC000045,2014-10-01,962.0,153.92,1.0,S
45,DVC000046,2014-10-01,8210.0,1313.6,1.0,S
46,DVC000047,2014-10-01,180.0,28.8,1.0,S
47,DVC000048,2014-10-01,170.0,27.2,1.0,S
48,DVC000049,2014-10-01,170.0,27.2,1.0,S
49,DVC000050,2014-10-01,185.0,29.6,1.0,S
50,DVC000051,2014-10-02,185.0,29.6,1.0,S
51,DVC000052,2014-10-02,175.0,28.0,1.0,S
52,DVC000053,2014-10-02,350.0,56.0,1.0,S
53,DVC000054,2014-10-03,11982.76,1917.24,1.0,S
54,DVC000055,2014-10-03,17241.38,2758.62,1.0,S
55,DVC000056,2014-10-03,750.48,120.08,1.0,S
56,DVC000057,2014-10-07,13637.52,2182.0,1.0,S
57,DVC000058,2014-10-07,380.0,60.8,1.0,S
58,DVC000059,2014-10-07,7056.15,1128.98,1.0,S
59,DVC000060,2014-10-09,360.0,57.6,1.0,S
60,DVC000061,2014-10-13,253.34,40.53,1.0,S
61,DVC000062,2014-10-14,65.0,10.4,1.0,S
62,DVC000063,2014-10-14,900.0,144.0,1.0,S
63,DVC000064,2014-10-14,360.0,57.6,1.0,S
64,DVC000065,2014-10-14,1759.2,281.47,1.0,S
65,DVC000066,2014-10-14,376.0,60.16,1.0,S
66,DVC000067,2014-10-14,65.0,10.4,1.0,S
67,DVC000068,2014-10-14,1619.2,259.07,1.0,S
68,DVC000069,2014-10-14,244.3,39.09,1.0,S
69,DVC000070,2014-10-14,851.76,136.28,1.0,S
70,DVC000071,2014-10-14,973.44,155.75,1.0,S
71,DVC000072,2014-10-14,1263.6,202.18,1.0,S
72,DVC000073,2014-10-14,973.44,155.75,1.0,S
73,DVC000074,2014-10-14,861.12,137.78,1.0,S
74,DVC000075,2014-10-15,3847.2,615.55,1.0,S
75,DVC000076,2014-10-15,606.24,97.0,1.0,S
76,DVC000077,2014-10-15,1506.0,240.96,1.0,S
77,DVC000078,2014-10-16,993.1,158.9,1.0,S
78,DVC000079,2014-10-16,4429.99,708.8,1.0,S
79,DVC000080,2014-10-17,8732.37,1397.18,1.0,S
80,DVC000081,2014-10-17,811.2,129.79,1.0,S
81,DVC000082,2014-10-17,9049.39,1447.9,1.0,N
82,DVC000083,2014-10-17,9094.39,1455.1,1.0,S
83,DVC000084,2014-10-20,340.0,54.4,1.0,S
84,DVC000085,2014-10-22,325.0,52.0,1.0,S
85,DVC000086,2014-10-22,180.0,28.8,1.0,S
86,DVC000087,2014-10-23,865.8,138.53,1.0,S
87,DVC000088,2014-10-24,1305.0,208.8,1.0,S
88,DVC000089,2014-10-28,1841.6,294.66,1.0,S
89,DVC000090,2014-10-28,2777.11,444.34,1.0,S
90,DVC000091,2014-10-29,741.32,118.61,1.0,S
91,DVC000092,2014-10-29,2864.04,458.25,1.0,S
92,DVC000093,2014-10-30,540.0,86.4,1.0,S
93,DVC000094,2014-10-30,380.0,60.8,1.0,S
94,DVC000095,2014-10-30,190.0,30.4,1.0,S
95,DVC000096,2014-10-31,1729.73,276.76,1.0,S
96,DVC000097,2014-10-31,10042.24,1606.76,1.0,S
97,DVC000098,2014-11-03,5016.66,802.67,1.0,S
98,DVC000099,2014-11-03,388.43,62.15,1.0,S
99,DVC000100,2014-11-03,3556.32,569.01,1.0,S
100,DVC000101,2014-11-05,375.0,60.0,1.0,S
101,DVC000102,2014-11-05,304.5,48.72,1.0,S
102,DVC000103,2014-11-06,231.5,37.04,1.0,S
103,DVC000104,2014-11-06,175.0,28.0,1.0,S
104,DVC000105,2014-11-06,517.65,82.82,1.0,S
105,DVC000106,2014-11-07,301.6,48.26,1.0,S
106,DVC000107,2014-11-07,572.0,91.52,1.0,S
107,DVC000108,2014-11-10,1118.0,178.88,1.0,S
108,DVC000109,2014-11-10,1534.4,245.5,1.0,S
109,DVC000110,2014-11-10,76.72,12.28,1.0,S
110,DVC000111,2014-11-10,376.0,60.16,1.0,S
111,DVC000112,2014-11-10,383.6,61.38,1.0,S
112,DVC000113,2014-11-10,6107.4,977.18,1.0,S
113,DVC000114,2014-11-11,256.02,40.96,1.0,S
114,DVC000115,2014-11-11,208.0,33.28,1.0,S
115,DVC000116,2014-11-12,842.4,134.78,1.0,S
116,DVC000117,2014-11-12,2335.4,373.66,1.0,S
117,DVC000118,2014-11-12,4680.0,748.8,1.0,S
118,DVC000119,2014-11-13,873.6,139.78,1.0,S
119,DVC000120,2014-11-13,682.35,109.18,1.0,S
120,DVC000121,2014-11-13,235.87,37.74,1.0,S
121,DVC000122,2014-11-13,1025.02,164.0,1.0,S
122,DVC000123,2014-11-13,3061.38,489.82,1.0,N
123,DVC000124,2014-11-13,170.68,27.31,1.0,S
124,DVC000125,2014-11-18,6107.4,977.18,1.0,S
125,DVC000126,2014-11-18,3061.38,489.82,1.0,S
126,DVC000127,2014-11-21,6615.04,1058.41,1.0,S
127,DVC000128,2014-11-24,150.8,24.13,1.0,S
128,DVC000129,2014-11-24,1927.81,308.45,1.0,S
129,DVC000130,2014-11-24,578.0,92.48,1.0,S
130,DVC000131,2014-11-24,2239.3,358.29,1.0,S
131,DVC000132,2014-11-24,54901.4,8784.22,1.0,S
132,DVC000133,2014-11-24,16904.15,2704.66,1.0,S
133,DVC000134,2014-11-24,6071.52,971.44,1.0,S
134,DVC000135,2014-11-24,1939.39,310.3,1.0,S
135,DVC000136,2014-11-24,180.0,28.8,1.0,S
136,DVC000137,2014-11-25,2270.88,363.34,1.0,S
137,DVC000138,2014-11-25,360.0,57.6,1.0,S
138,DVC000139,2014-11-26,258.82,41.41,1.0,S
139,DVC000140,2014-11-27,4059.68,649.55,1.0,S
140,DVC000141,2014-11-28,9487.09,1517.93,1.0,S
141,DVC000142,2014-12-01,1341.7,214.67,1.0,S
142,DVC000143,2014-12-02,890.0,142.4,1.0,S
143,DVC000144,2014-12-03,161.2,25.79,1.0,S
144,DVC000145,2014-12-04,190.0,30.4,1.0,S
145,DVC000146,2014-12-04,20712.46,3313.99,1.0,S
146,DVC000147,2014-12-04,389556.85,62329.1,1.0,S
147,DVC000148,2014-12-05,1010.88,161.74,1.0,S
148,DVC000149,2014-12-05,291.2,46.59,1.0,S
149,DVC000150,2014-12-05,861.12,137.78,1.0,S
150,DVC000151,2014-12-05,4530.16,724.83,1.0,S
151,DVC000152,2014-12-10,350.0,56.0,1.0,S
152,DVC000153,2014-12-10,561.6,89.86,1.0,S
153,DVC000154,2014-12-10,2303.6,368.58,1.0,S
154,DVC000155,2014-12-10,495.04,79.21,1.0,S
155,DVC000156,2014-12-12,188.0,30.08,1.0,S
156,DVC000157,2014-12-12,227.09,36.33,1.0,S
157,DVC000158,2014-12-12,3216.78,514.68,1.0,S
158,DVC000159,2014-12-17,16275.16,2604.03,1.0,S
159,DVC000160,2014-12-19,9518.93,1523.03,1.0,S
160,DVC000161,2014-12-22,1600.57,256.09,1.0,S
161,DVC000162,2014-12-22,161.2,25.79,1.0,S
162,DVC000163,2014-12-30,1197.3,191.57,1.0,S
163,DVC000164,2014-12-30,352.4,56.38,1.0,N
164,DVC000165,2014-12-30,17246.31,2759.41,1.0,S
165,DVC000166,2014-12-31,6507.48,1041.2,1.0,S
166,DVC000167,2014-12-31,2934.36,469.5,1.0,S
167,DVC000168,2014-12-31,1630.19,260.83,1.0,S
168,DVC000169,2014-12-31,3216.78,514.68,1.0,N
169,DVC000170,2015-01-05,9967.6,1594.82,1.0,S
170,DVC000171,2015-01-05,609.0,97.44,1.0,S
171,DVC000172,2015-01-06,3184.28,509.48,1.0,S
172,DVC000173,2015-01-06,5037.36,805.98,1.0,S
173,DVC000174,2015-01-07,1555.62,248.9,1.0,S
174,DVC000175,2015-01-08,8588.44,1374.15,1.0,S
175,DVC000176,2015-01-08,5776.24,924.2,1.0,S
176,DVC000177,2015-01-12,5324.8,851.97,1.0,S
177,DVC000178,2015-01-13,280.8,44.93,1.0,S
178,DVC000179,2015-01-14,16278.8,2604.61,1.0,N
179,DVC000180,2015-01-14,143.26,22.92,1.0,S
180,DVC000181,2015-01-19,192.92,30.87,1.0,S
181,DVC000182,2015-01-20,3761.42,601.83,1.0,S
182,DVC000183,2015-01-20,1010.94,161.75,1.0,S
183,DVC000184,2015-01-20,3471.41,555.43,1.0,S
184,DVC000185,2015-01-20,4015.0,642.4,1.0,S
185,DVC000186,2015-01-21,3316.13,530.58,1.0,S
186,DVC000187,2015-01-21,4869.12,779.06,1.0,S
187,DVC000188,2015-01-21,360.0,57.6,1.0,S
188,DVC000189,2015-01-26,477.36,76.38,1.0,S
189,DVC000190,2015-01-26,6635.2,1061.63,1.0,S
190,DVC000191,2015-01-30,15807.59,2529.21,1.0,S
191,DVC000192,2015-01-30,3720.0,595.2,1.0,S
192,DVC000193,2015-02-05,842.4,134.78,1.0,S
193,DVC000194,2015-02-05,1168.12,186.9,1.0,S
194,DVC000195,2015-02-05,301.6,48.26,1.0,S
195,DVC000196,2015-02-05,551.2,88.19,1.0,S
196,DVC000197,2015-02-06,8676.4,1388.22,1.0,S
197,DVC000198,2015-02-09,27671.41,4427.43,1.0,S
198,DVC000199,2015-02-09,852.8,136.45,1.0,S
199,DVC000200,2015-02-16,5071.68,811.47,1.0,S
200,DVC000201,2015-02-17,551.2,88.19,1.0,S
201,DVC000202,2015-02-17,1710.8,273.73,1.0,S
202,DVC000203,2015-02-17,477.36,76.38,1.0,S
203,DVC000204,2015-02-17,477.36,76.38,1.0,S
204,DVC000205,2015-02-18,1936.48,309.84,1.0,S
205,DVC000206,2015-02-18,1047.28,167.56,1.0,S
206,DVC000207,2015-02-20,413.81,66.21,1.0,S
207,DVC000208,2015-02-23,2090.56,334.49,1.0,S
208,DVC000209,2015-02-24,380.0,60.8,1.0,S
209,DVC000210,2015-02-24,529.2,84.67,1.0,S
210,DVC000211,2015-02-24,49008.18,7841.31,1.0,S
211,DVC000212,2015-02-26,2155.17,344.83,1.0,S
212,DVC000213,2015-02-26,360.0,57.6,1.0,S
213,DVC000214,2015-02-26,1080.0,172.8,1.0,S
214,DVC000215,2015-02-27,1489.51,238.32,1.0,S
215,DVC000216,2015-03-03,2255.65,360.9,1.0,N
216,DVC000217,2015-03-03,170.0,27.2,1.0,S
217,DVC000218,2015-03-05,3686.8,589.89,1.0,S
218,DVC000219,2015-03-06,13097.97,2095.68,1.0,S
219,DVC000220,2015-03-06,291.2,46.59,1.0,S
220,DVC000221,2015-03-10,85.34,13.65,1.0,S
221,DVC000222,2015-03-10,258.96,41.43,1.0,S
222,DVC000223,2015-03-10,380.0,60.8,1.0,S
223,DVC000224,2015-03-13,283.71,45.39,1.0,S
224,DVC000225,2015-03-17,348.88,55.82,1.0,S
225,DVC000226,2015-03-17,3793.28,606.92,1.0,S
226,DVC000227,2015-03-18,8760.99,1401.76,1.0,S
227,DVC000228,2015-03-18,301.6,48.26,1.0,S
228,DVC000229,2015-03-20,740.0,118.4,1.0,S
229,DVC000230,2015-03-23,11404.27,1824.68,1.0,S
230,DVC000231,2015-03-23,9013.67,1442.19,1.0,S
231,DVC000232,2015-03-23,23330.25,3732.84,1.0,S
232,DVC000233,2015-03-23,75417.93,12066.87,1.0,S
233,DVC000234,2015-03-23,3970.2,635.23,1.0,S
234,DVC000235,2015-03-24,2255.65,360.9,1.0,S
235,DVC000236,2015-03-24,1795.2,287.23,1.0,S
236,DVC000237,2015-03-31,540.8,86.53,1.0,S
237,DVC000238,2015-04-07,460.32,73.65,1.0,S
238,DVC000239,2015-04-08,936.0,149.76,1.0,S
239,DVC000240,2015-04-08,203.84,32.61,1.0,S
240,DVC000241,2015-04-10,3773.94,603.83,1.0,S
241,DVC000242,2015-04-10,1071.6,171.46,1.0,S
242,DVC000243,2015-04-10,180.0,28.8,1.0,S
243,DVC000244,2015-04-16,7843.68,1254.99,1.0,S
244,DVC000245,2015-04-20,24903.3,3984.53,1.0,S
245,DVC000246,2015-04-20,360.0,57.6,1.0,S
246,DVC000247,2015-04-21,585.0,93.6,1.0,S
247,DVC000248,2015-04-22,33849.92,5415.99,1.0,S
248,DVC000249,2015-04-22,7743.84,1239.01,1.0,S
249,DVC000250,2015-04-22,418.6,66.98,1.0,S
250,DVC000251,2015-04-23,235.76,37.72,1.0,S
251,DVC000252,2015-04-23,2030.67,324.91,1.0,S
252,DVC000253,2015-04-23,132.0,21.12,1.0,S
253,DVC000254,2015-04-30,195.0,31.2,1.0,S
254,DVC000255,2015-05-04,2123.93,339.83,1.0,S
255,DVC000256,2015-05-05,150.0,24.0,1.0,S
256,DVC000257,2015-05-06,742.56,118.81,1.0,S
257,DVC000258,2015-05-06,397.0,63.52,1.0,S
258,DVC000259,2015-05-07,187.0,29.92,1.0,S
259,DVC000260,2015-05-07,187.0,29.92,1.0,S
260,DVC000261,2015-05-07,3096.0,495.36,1.0,S
261,DVC000262,2015-05-08,1230.0,196.8,1.0,S
262,DVC000263,2015-05-14,1320.72,211.32,1.0,S
263,DVC000264,2015-05-15,93.5,14.96,1.0,S
264,DVC000265,2015-05-15,78.5,12.56,1.0,S
265,DVC000266,2015-05-15,172.4,27.58,1.0,S
266,DVC000267,2015-05-15,540.8,86.53,1.0,N
267,DVC000268,2015-05-18,0.0,0.0,1.0,S
268,DVC000269,2015-05-19,29146.56,4663.45,1.0,S
269,DVC000270,2015-05-19,3405.57,544.89,1.0,S
270,DVC000271,2015-05-19,885.0,141.6,1.0,S
271,DVC000272,2015-05-20,9317.5,1490.8,1.0,S
272,DVC000273,2015-05-21,30247.46,4839.59,1.0,S
273,DVC000274,2015-05-21,7360.55,1177.69,1.0,S
274,DVC000275,2015-05-21,2483.68,397.39,1.0,S
275,DVC000276,2015-05-21,3474.43,555.91,1.0,S
276,DVC000277,2015-05-21,66729.89,10676.78,1.0,S
277,DVC000278,2015-05-21,995.28,159.24,1.0,S
278,DVC000279,2015-05-21,138465.0,22154.4,1.0,S
279,DVC000280,2015-05-22,9128.0,1460.48,1.0,S
280,DVC000281,2015-05-22,540.8,86.53,1.0,N
281,DVC000282,2015-05-22,540.8,86.53,1.0,S
282,DVC000283,2015-05-22,1414.4,226.3,1.0,S
283,DVC000284,2015-05-25,780.0,124.8,1.0,S
284,DVC000285,2015-05-25,78.5,12.56,1.0,S
285,DVC000286,2015-05-26,390.0,62.4,1.0,S
286,DVC000287,2015-05-27,10094.6,1615.14,1.0,S
287,DVC000288,2015-05-28,182.0,29.12,1.0,S
288,DVC000289,2015-05-28,177.0,28.32,1.0,S
289,DVC000290,2015-05-29,580.1,92.82,1.0,S
290,DVC000291,2015-06-01,295.0,47.2,1.0,S
291,DVC000292,2015-06-01,706.5,113.04,1.0,S
292,DVC000293,2015-06-02,215.0,34.4,1.0,S
293,DVC000294,2015-06-02,4283.55,685.37,1.0,S
294,DVC000295,2015-06-04,157.0,25.12,1.0,S
295,DVC000296,2015-06-05,0.0,0.0,1.0,S
296,DVC000297,2015-06-05,4338.92,694.23,1.0,S
297,DVC000298,2015-06-05,0.0,0.0,1.0,S
298,DVC000299,2015-06-08,2048.84,327.81,1.0,S
299,DVC000300,2015-06-08,195.0,31.2,1.0,S
300,DVC000301,2015-06-08,177.0,28.32,1.0,S
301,DVC000302,2015-06-08,258.6,41.38,1.0,S
302,DVC000303,2015-06-08,235.5,37.68,1.0,S
303,DVC000304,2015-06-10,3460.0,553.6,1.0,S
304,DVC000305,2015-06-11,5459.06,873.45,1.0,S
305,DVC000306,2015-06-17,2658.6,425.38,1.0,S
306,DVC000307,2015-06-18,250.9,40.14,1.0,S
307,DVC000308,2015-06-18,21883.91,3501.43,1.0,S
308,DVC000309,2015-06-22,195.0,31.2,1.0,S
309,DVC000310,2015-06-23,1318.5,210.96,1.0,S
310,DVC000311,2015-06-23,4490.64,718.5,1.0,S
311,DVC000312,2015-06-24,2412.5,386.0,1.0,S
312,DVC000313,2015-06-25,3315.0,530.4,1.0,S
313,DVC000314,2015-06-25,354.0,56.64,1.0,S
314,DVC000315,2015-06-26,3365.0,538.4,1.0,S
315,DVC000316,2015-06-30,531.0,84.96,1.0,S
316,DVC000317,2015-07-03,185.0,29.6,1.0,S
317,DVC000318,2015-07-03,187.0,29.92,1.0,S
318,DVC000319,2015-07-03,30421.8,4867.49,1.0,S
319,DVC000320,2015-07-03,6582.73,1053.24,1.0,S
320,DVC000321,2015-07-03,22759.3,3641.49,1.0,S
321,DVC000322,2015-07-03,22759.3,3641.49,1.0,S
322,DVC000323,2015-07-06,3150.0,504.0,1.0,S
323,DVC000324,2015-07-08,599.0,95.84,1.0,S
324,DVC000325,2015-07-08,101.2,16.19,1.0,S
325,DVC000326,2015-07-10,1726.4,276.22,1.0,S
326,DVC000327,2015-07-10,202.4,32.38,1.0,S
327,DVC000328,2015-07-10,7078.1,1132.5,1.0,S
328,DVC000329,2015-07-15,4764.6,762.34,1.0,S
329,DVC000330,2015-07-15,185.0,29.6,1.0,S
330,DVC000331,2015-07-17,116612.0,18657.92,1.0,N
331,DVC000332,2015-07-17,286713.0,45874.08,1.0,N
332,DVC000333,2015-07-17,182.0,29.12,1.0,S
333,DVC000334,2015-07-17,492.8,78.85,1.0,S
334,DVC000335,2015-07-21,116612.0,18657.92,1.0,S
335,DVC000336,2015-07-21,286713.0,45874.08,1.0,S
336,DVC000337,2015-07-29,5947.0,951.52,1.0,S
337,DVC000338,2015-07-30,1026.7,164.27,1.0,S
338,DVC000339,2015-07-31,879.0,140.64,1.0,S
339,DVC000340,2015-07-31,336.8,53.89,1.0,S
340,DVC000341,2015-07-31,1123.6,179.78,1.0,S
341,DVC000342,2015-08-03,771.12,123.38,1.0,S
342,DVC000343,2015-08-04,3620.68,579.31,1.0,S
343,DVC000344,2015-08-04,344.8,55.17,1.0,S
344,DVC000345,2015-08-04,78.5,12.56,1.0,S
345,DVC000346,2015-08-05,290.0,46.4,1.0,S
346,DVC000347,2015-08-05,556.0,88.96,1.0,S
347,DVC000348,2015-08-06,322.4,51.58,1.0,S
348,DVC000349,2015-08-07,322.4,51.58,1.0,S
349,DVC000350,2015-08-07,1955.2,312.83,1.0,S
350,DVC000351,2015-08-10,579.12,92.66,1.0,S
351,DVC000352,2015-08-10,291.2,46.59,1.0,S
352,DVC000353,2015-08-11,78.5,12.56,1.0,S
353,DVC000354,2015-08-11,195.0,31.2,1.0,S
354,DVC000355,2015-08-13,210.0,33.6,1.0,S
355,DVC000356,2015-08-14,86.2,13.79,1.0,S
356,DVC000357,2015-08-17,1540.0,246.4,1.0,S
357,DVC000358,2015-08-17,3064.9,490.38,1.0,S
358,DVC000359,2015-08-17,5097.06,815.53,1.0,S
359,DVC000360,2015-08-19,484.5,77.52,1.0,S
360,DVC000361,2015-08-19,727.58,116.41,1.0,S
361,DVC000362,2015-08-20,538.3,86.13,1.0,S
362,DVC000363,2015-08-21,309.0,49.44,1.0,S
363,DVC000364,2015-08-21,78.5,12.56,1.0,S
364,DVC000365,2015-08-21,78.5,12.56,1.0,S
365,DVC000366,2015-08-24,2715.0,434.4,1.0,S
366,DVC000367,2015-08-26,1608.5,257.36,1.0,S
367,DVC000368,2015-08-28,75.0,12.0,1.0,S
368,DVC000369,2015-09-01,78.5,12.56,1.0,S
369,DVC000370,2015-09-02,508.3,81.33,1.0,S
370,DVC000371,2015-09-02,66.5,10.64,1.0,S
371,DVC000372,2015-09-04,7829.88,1252.78,1.0,S
372,DVC000373,2015-09-07,187.0,29.92,1.0,S
373,DVC000374,2015-09-08,18706.29,2993.01,1.0,S
374,DVC000375,2015-09-08,15859.46,2537.51,1.0,S
375,DVC000376,2015-09-08,385.56,61.69,1.0,S
376,DVC000377,2015-09-08,303.86,48.62,1.0,S
377,DVC000378,2015-09-08,1496.7,239.47,1.0,S
378,DVC000379,2015-09-09,4574.7,731.95,1.0,S
379,DVC000380,2015-09-09,14683.81,2349.41,1.0,S
380,DVC000381,2015-09-09,3186.21,509.79,1.0,S
381,DVC000382,2015-09-09,2145.52,343.28,1.0,S
382,DVC000383,2015-09-09,5664.61,906.34,1.0,S
383,DVC000384,2015-09-09,182.0,29.12,1.0,S
384,DVC000385,2015-09-09,728.0,116.48,1.0,S
385,DVC000386,2015-09-10,314.0,50.24,1.0,S
386,DVC000387,2015-09-11,385.56,61.69,1.0,S
387,DVC000388,2015-09-11,318.42,50.95,1.0,S
388,DVC000389,2015-09-11,860.0,137.6,1.0,S
389,DVC000390,2015-09-17,6697.08,1071.53,1.0,S
390,DVC000391,2015-09-17,1769.04,283.05,1.0,S
391,DVC000392,2015-09-18,900.0,144.0,1.0,S
392,DVC000393,2015-09-18,531.0,84.96,1.0,S
393,DVC000394,2015-09-21,2525.0,404.0,1.0,S
394,DVC000395,2015-09-21,1255.0,200.8,1.0,S
395,DVC000396,2015-09-25,440.0,70.4,1.0,S
396,DVC000397,2015-09-25,299.0,47.84,1.0,S
397,DVC000398,2015-09-29,85.0,13.6,1.0,S
398,DVC000399,2015-09-30,800.8,128.13,1.0,S
399,DVC000400,2015-09-30,780.0,124.8,1.0,S
400,DVC000401,2015-09-30,480.0,76.8,1.0,S
401,DVC000402,2015-10-01,6232.0,997.12,1.0,S
402,DVC000403,2015-10-02,65.0,10.4,1.0,S
403,DVC000404,2015-10-05,1414.4,226.3,1.0,S
404,DVC000405,2015-10-05,1414.4,226.3,1.0,S
405,DVC000406,2015-10-05,1404.0,224.64,1.0,S
406,DVC000407,2015-10-05,1398.8,223.81,1.0,S
407,DVC000408,2015-10-05,1398.8,223.81,1.0,S
408,DVC000409,2015-10-05,875.0,140.0,1.0,S
409,DVC000410,2015-10-05,858.0,137.28,1.0,S
410,DVC000411,2015-10-05,540.8,86.53,1.0,S
411,DVC000412,2015-10-05,900.0,144.0,1.0,S
412,DVC000413,2015-10-05,540.8,86.53,1.0,S
413,DVC000414,2015-10-05,1414.4,226.3,1.0,S
414,DVC000415,2015-10-05,1154.4,184.7,1.0,S
415,DVC000416,2015-10-05,1467.8,234.85,1.0,S
416,DVC000417,2015-10-05,1445.6,231.3,1.0,S
417,DVC000418,2015-10-05,1445.6,231.3,1.0,S
418,DVC000419,2015-10-05,1497.8,239.65,1.0,S
419,DVC000420,2015-10-05,1230.0,196.8,1.0,S
420,DVC000421,2015-10-06,1537.2,245.95,1.0,S
421,DVC000422,2015-10-06,1143.58,182.97,1.0,S
422,DVC000423,2015-10-06,6232.0,997.12,1.0,S
423,DVC000424,2015-10-06,456.0,72.96,1.0,S
424,DVC000425,2015-10-06,85.0,13.6,1.0,S
425,DVC000426,2015-10-07,6340.4,1014.46,1.0,S
426,DVC000427,2015-10-07,7989.03,1278.24,1.0,S
427,DVC000428,2015-10-08,1115.0,178.4,1.0,S
428,DVC000429,2015-10-08,690.6,110.5,1.0,S
429,DVC000430,2015-10-08,3080.58,492.89,1.0,S
430,DVC000431,2015-10-08,2002.97,320.48,1.0,S
431,DVC000432,2015-10-08,9403.69,1504.59,1.0,S
432,DVC000433,2015-10-08,2026.59,324.25,1.0,S
433,DVC000434,2015-10-08,330.23,52.84,1.0,S
434,DVC000435,2015-10-08,5046.6,807.46,1.0,S
435,DVC000436,2015-10-08,4328.14,692.5,1.0,S
436,DVC000437,2015-10-09,1017.19,162.75,1.0,S
437,DVC000438,2015-10-12,251.55,40.25,1.0,S
438,DVC000439,2015-10-13,357.0,57.12,1.0,S
439,DVC000440,2015-10-13,187.0,29.92,1.0,S
440,DVC000441,2015-10-13,187.0,29.92,1.0,S
441,DVC000442,2015-10-13,1484.0,237.44,1.0,S
442,DVC000443,2015-10-13,86.2,13.79,1.0,S
443,DVC000444,2015-10-13,340.0,54.4,1.0,S
444,DVC000445,2015-10-14,1136.36,181.82,1.0,S
445,DVC000446,2015-10-15,399.0,63.84,1.0,S
446,DVC000447,2015-10-15,299.2,47.87,1.0,S
447,DVC000448,2015-10-15,1746.0,279.36,1.0,S
448,DVC000449,2015-10-16,220.0,35.2,1.0,S
449,DVC000450,2015-10-16,895.0,143.2,1.0,S
450,DVC000451,2015-10-19,95.0,15.2,1.0,S
451,DVC000452,2015-10-20,251.55,40.25,1.0,S
452,DVC000453,2015-10-20,410.0,65.6,1.0,S
453,DVC000454,2015-10-22,340.0,54.4,1.0,S
454,DVC000455,2015-10-22,340.0,54.4,1.0,S
455,DVC000456,2015-10-26,305.0,48.8,1.0,S
456,DVC000457,2015-10-26,224.0,35.84,1.0,S
457,DVC000458,2015-10-26,930.0,148.8,1.0,S
458,DVC000459,2015-10-28,561.0,89.76,1.0,S
459,DVC000460,2015-10-29,2257.58,361.21,1.0,S
460,DVC000461,2015-11-02,345.3,55.25,1.0,S
461,DVC000462,2015-11-02,151.2,24.19,1.0,S
462,DVC000463,2015-11-02,5263.25,842.12,1.0,S
463,DVC000464,2015-11-02,1295.0,207.2,1.0,S
464,DVC000465,2015-11-03,85.0,13.6,1.0,S
465,DVC000466,2015-11-03,1290.0,206.4,1.0,S
466,DVC000467,2015-11-03,220.5,35.28,1.0,S
467,DVC000468,2015-11-04,1614.0,258.24,1.0,S
468,DVC000469,2015-11-04,85.0,13.6,1.0,S
469,DVC000470,2015-11-05,325.0,52.0,1.0,S
470,DVC000471,2015-11-09,800.0,128.0,1.0,S
